sku,name,brand,slug,description_short,description_long,category,subcategory,price,price_original,currency,weight_g,flavors,images,in_stock,is_featured,is_new,badge_text,badge_color,rating,review_count,tags
SKU-5639,Infected,,infected,"Our Non stimulant, Muscle building  pre- workout is infected with explosive energy and insane pump.
\nNothing will stand in your way.
\nOur stimulant free formula is made with the best ingredients that are proven to boost more lean muscle tissue than any other ingredients in the whole supplement industry.","<h6>Product Intro:</h6>
\nOur <strong>non-stimulant muscle-building pre-workout</strong> is packed with explosive energy and delivers an insane pump.
\n
\nNothing will stand in your way.
\n
\nThis stimulant-free formula is made with the finest, scientifically backed ingredients proven to promote more lean muscle growth than any other combination in the supplement industry.
\n
\n<strong>Infected</strong> contains a complex blend of pure, ultra-pharmaceutical-grade ingredients that enhance energy production and muscle building — turning your training ambitions into real achievements.
\n<h6>Product Benefits:</h6>
\n<ul>
\n 	<li><strong>Increases muscle size</strong></li>
\n 	<li><strong>Maximizes muscle pump</strong></li>
\n 	<li><strong>Supports longer, more intense workouts by delaying fatigue</strong></li>
\n 	<li><strong>Accelerates muscle recovery</strong></li>
\n 	<li><strong>May help regulate cortisol levels</strong></li>
\n</ul>
\n<a href=""https://marvelousnutrition.com/wp-content/uploads/2025/11/infected-new--scaled.png""><img class=""alignnone size-medium wp-image-6367"" src=""https://marvelousnutrition.com/wp-content/uploads/2025/11/infected-new--300x171.png"" alt="""" width=""300"" height=""171"" /></a>",Pre Workout,,0.00,,CHF,0,"{""Fruit Punch"",""Watermelon""}","{""https://marvelousnutrition.com/wp-content/uploads/2025/11/Marveleous27.png""}",true,false,false,,#c8102e,0.0,0,"{""top-selling""}"
SKU-5640,Experiment,,experiment,"Experiment pre-workout is the outcome of real training experiments, not just the labs! Experiment the feeling of being superhero. With a complex blend of pure, ultra-pharmaceutical grade ingredients that boost the body’s energy that will take your training session to levels you have never imagined.","<h6>Product Intro:</h6>
\n<strong>Experiment Pre-Workout</strong> is the result of real training experiments — not just lab tests!
\nExperience the feeling of becoming a superhero with a complex blend of pure, ultra-pharmaceutical-grade ingredients
\nthat boost your body’s energy and take your training sessions to levels you’ve never imagined.
\n
\n<strong>Experiment</strong> is a fully dosed and highly effective pre-workout that delivers what you truly want —
\n<strong>results!</strong> Even better, these results get stronger the more you use it.
\nPacked with research-backed dosages that work synergistically, this formula drives extreme motivation
\nthrough a powerful blend of intense stimulants and advanced cognitive-enhancement agents.
\n
\nThe intense motivation gets you into the gym, and the extreme focus keeps you there.
\n<h6>Product Benefits:</h6>
\n<ul>
\n 	<li><strong>Stimulates nitric oxide production</strong></li>
\n 	<li><strong>Enhances energy, power, and stamina</strong></li>
\n 	<li><strong>Amplifies pump and blood circulation</strong></li>
\n 	<li><strong>Boosts focus for a strong mind-muscle connection</strong></li>
\n 	<li><strong>Delicious candy-like flavors</strong></li>
\n</ul>
\n<h6>Science Behind the Formula:</h6>
\n<ul>
\n 	<li><strong>Citrulline Malate + AAKG:</strong>
\n(<em>L-Citrulline Malate 2:1 and Arginine AKG 2:1 blend</em>) in a 2:1 ratio
\nhas been shown to be more effective at increasing blood arginine levels
\nthan either ingredient alone. With greater nitric oxide (NO) production comes improved blood flow,
\noxygen delivery, and nutrient transport to muscles — optimizing performance.
\nAdditional research on L-Citrulline suggests enhanced VO₂ kinetics and ATP production,
\nleading to improved endurance and lean muscle growth.</li>
\n 	<li><strong>Beta-Alanine:</strong>
\nA powerful amino acid that increases stamina and endurance by elevating muscle carnosine levels.
\nCarnosine buffers lactic acid buildup during intense exercise, delaying fatigue and allowing longer,
\nharder workouts before muscles give out.</li>
\n 	<li><strong>Choline Bitartrate:</strong>
\nAn essential nutrient crucial for cognitive function, muscle movement, and cell structure.
\nIt’s a key precursor for acetylcholine — the “learning neurotransmitter” that enhances focus, memory,
\nand the mind-muscle connection. Supplementation supports optimal acetylcholine levels for superior training focus.</li>
\n 	<li><strong>Caffeine:</strong>
\nA well-known stimulant that increases mental energy, focus, and alertness while also promoting fat metabolism
\nfor improved performance and endurance.</li>
\n</ul>
\n<a href=""https://marvelousnutrition.com/wp-content/uploads/2025/11/expermint-gadwel-scaled.png""><img class=""alignnone size-medium wp-image-6368"" src=""https://marvelousnutrition.com/wp-content/uploads/2025/11/expermint-gadwel-300x176.png"" alt="""" width=""300"" height=""176"" /></a>",Proteins,,0.00,,CHF,0,"{""mango peach"",""pink strawberry"",""tropical fruit""}","{""https://marvelousnutrition.com/wp-content/uploads/2025/11/Marveleous48.png""}",true,false,false,,#c8102e,0.0,0,"{""top-selling""}"
SKU-5641,Escape,,escape,"Escape the hard day to new levels of deep sleep that boosts recovery immunity and finally nothing adjusts your mood better than a good deep sleep.
\n
\nThis product provides you with a unique combination of GH-boosting amino acids, cortisol/stress-reducing &amp; ZMA Increases Growth Hormone &amp; Testosterone! Reduces Stress &amp; Cortisol Improves Sleep, Recovery &amp; Growth approach to improving muscle growth and recovery.","<h6>Product Intro:</h6>
\nEscape the hard day to new levels of deep sleep that boost recovery, immunity, and mood. Nothing adjusts your mood better than a good deep sleep.
\n
\nThis product provides a unique combination of GH-boosting amino acids, cortisol/stress-reducing compounds &amp; ZMA to increase Growth Hormone &amp; Testosterone, reduce stress &amp; cortisol, and improve sleep, recovery &amp; growth. It is designed to promote muscle tissue repair and optimize exercise performance.
\n<h6>Product Benefits:</h6>
\n<ul>
\n 	<li><strong>Increasing natural GH production</strong></li>
\n 	<li><strong>Regulating muscle growth and fat loss</strong></li>
\n 	<li><strong>Balancing metabolism</strong></li>
\n</ul>
\n<h6>Science Behind the Formula:</h6>
\n<ul>
\n 	<li><strong>L-Ornithine:</strong> An amino acid that regulates the urea cycle, helping to eliminate toxic ammonia from the body by converting it into urea for excretion.</li>
\n 	<li><strong>L-Glycine:</strong> The smallest amino acid, essential for producing glutathione, DNA, creatine, bile, hemoglobin, and proteins. It supports glycogen storage for energy and acts as a calming neurotransmitter to promote healthy sleep patterns.</li>
\n 	<li><strong>GABA:</strong> Gamma-Aminobutyric Acid functions as a neurotransmitter in the brain, promoting relaxation and easing nervous tension.</li>
\n 	<li><strong>Melatonin:</strong> A hormone produced by the pineal gland that regulates sleep-wake cycles. Supplementing with melatonin safely enhances production and supports deep, restorative sleep, especially when blue light exposure inhibits natural secretion.</li>
\n 	<li><strong>ZMA:</strong> A combination of zinc, magnesium, and vitamin B6 designed to maximize absorption and promote recovery. Zinc supports cellular growth, tissue repair, and immunity. Magnesium maintains electrolyte balance, energy production, and neuromuscular function. Physical activity increases the need for these minerals, making ZMA ideal for replenishment.<a href=""https://marvelousnutrition.com/wp-content/uploads/2025/11/escape-gadwel-scaled.png""><img class=""alignnone size-medium wp-image-6386"" src=""https://marvelousnutrition.com/wp-content/uploads/2025/11/escape-gadwel-300x142.png"" alt="""" width=""300"" height=""142"" /></a></li>
\n</ul>",Accessories,,29,,CHF,0,{},"{""https://marvelousnutrition.com/wp-content/uploads/2025/11/Marveleous-63.png""}",false,false,false,,#c8102e,0.0,0,"{""top-selling""}"
SKU-5642,Bulk,,bulk,"Bulk is your lean mass activator.
\nNot all proteins are equal, always choose the best.  At Marvelous Nutrition we only do Whey protein Isolate cause we believe it is the best for our Superhuman Athletes.","<h6>Product Intro:</h6>
\nBulk is your lean mass activator.
\n
\nNot all proteins are equal — always choose the best. At <strong>Marvelous Nutrition</strong>, we only use <strong>Whey Protein Isolate</strong> because we believe it is the best choice for our Superhuman Athletes.
\n
\nBulk Iso-Whey is a high biological value whey protein isolate that is <strong>lactose-free, gluten-free, and aspartame-free</strong>. Each serving provides <strong>26.34 grams of premium protein</strong>.
\n
\nIt’s made from <strong>pure, ultra-filtered, grass-fed whey protein isolate</strong> to ensure no hormones and no antibiotics, which directly reflects in your overall health. Whey protein isolate is rapidly absorbed, making its high content of <strong>BCAAs</strong> immediately available to your muscles for enhanced growth and repair.
\n
\nIt is rich in <strong>lactoferrin, α-lactalbumin, BCAAs,</strong> and <strong>essential amino acids</strong>, ensuring higher nitrogen retention and increased protein absorption compared to inferior protein sources.
\n
\nDesigned for athletes and bodybuilders of all levels, this protein can be consumed at any time of the day. With its <strong>marvelous taste</strong> and <strong>easy-to-mix formula</strong>, Bulk Iso-Whey takes your fitness goals to the next level.
\n
\nThis is the <strong>ultimate protein choice</strong> for athletes seeking maximum results.
\n<h6>Product Benefits:</h6>
\n<ul>
\n 	<li><strong>High biological value whey protein</strong></li>
\n 	<li><strong>Marvelous taste</strong></li>
\n 	<li><strong>Zero fat, zero carbs, zero added sugars</strong></li>
\n 	<li><strong>No artificial colors</strong></li>
\n 	<li><strong>Gluten and aspartame-free</strong></li>
\n</ul>
\n<h6>Science Behind the Formula:</h6>
\nWhey Protein Isolate is a superior form of protein — better absorbed by the body than concentrates or blends. We utilize a <strong>cross-flow microfiltration process</strong> during manufacturing to enhance purity, removing unwanted fats, cholesterol, and lactose. This process ensures <strong>better digestion, faster absorption, and optimal muscle recovery</strong>.
\n
\n<a href=""https://marvelousnutrition.com/wp-content/uploads/2025/11/bulk-1-gadwel-scaled.png""><img class=""alignnone size-medium wp-image-6369"" src=""https://marvelousnutrition.com/wp-content/uploads/2025/11/bulk-1-gadwel-300x176.png"" alt="""" width=""300"" height=""176"" /></a> <a href=""https://marvelousnutrition.com/wp-content/uploads/2025/11/bulk-2-gadwel-scaled.png""><img class=""alignnone size-medium wp-image-6370"" src=""https://marvelousnutrition.com/wp-content/uploads/2025/11/bulk-2-gadwel-141x300.png"" alt="""" width=""141"" height=""300"" /></a>",WHEY/ISOLATE,,0.00,,CHF,0,"{""Chocolate Fudge"",""Cookies and Cream"",""Strawberry"",""Vanilla""}","{""https://marvelousnutrition.com/wp-content/uploads/2025/11/Marveleous-66.png""}",true,false,false,,#c8102e,0.0,0,"{""top-selling""}"
SKU-5643,Amputation,,amputation,"You will burn excess fat and reshape your body making you feel as superhero.
\n
\nAmputation features a complex blend of pure, ultra-pharmaceutical grade, Ingredients that boost the body’s Energy that will shred fat, water, and estrogen without any muscle loss.","<h6>Product Intro:</h6>
\nTransform your physique and feel like a superhero with <strong>Amputation</strong> — a powerful fat-burning formula designed to reshape your body while preserving lean muscle.
\n
\nAmputation features a <strong>complex blend of pure, ultra-pharmaceutical grade ingredients</strong> that supercharge your body’s energy levels, helping to shred fat, eliminate excess water, and reduce estrogen — all without sacrificing muscle mass.
\n
\nThis advanced formula attacks fat through multiple pathways, ensuring your body consistently burns stored fat while eliminating unwanted water retention. By raising your body’s core temperature, Amputation promotes thermogenesis — helping you torch calories and sweat intensely during every workout.
\n
\nEnriched with a potent mix of <strong>super herbs</strong> and <strong>ALCAR (Acetyl L-Carnitine)</strong>, Amputation enhances fat metabolism, boosts endurance, and supports impressive physical transformations by ensuring your energy is efficiently derived from fat stores.
\n<h6>Product Benefits:</h6>
\nThe unique formula contributes to:
\n<ul>
\n 	<li><strong>Increased metabolism</strong></li>
\n 	<li><strong>Balanced cortisol levels</strong></li>
\n 	<li><strong>Enhanced energy and focus</strong></li>
\n 	<li><strong>Improved thyroid output</strong></li>
\n 	<li><strong>Reduced excess body water<a href=""https://marvelousnutrition.com/wp-content/uploads/2025/11/amputaion-gadwal.png""><img class=""alignnone size-medium wp-image-6387"" src=""https://marvelousnutrition.com/wp-content/uploads/2025/11/amputaion-gadwal-300x186.png"" alt="""" width=""300"" height=""186"" /></a></strong></li>
\n</ul>",Weight Loss,,30,,CHF,0,{},"{""https://marvelousnutrition.com/wp-content/uploads/2025/11/79-1.png""}",true,false,false,,#c8102e,0.0,0,"{""top-selling""}"
SKU-5644,Alive,,alive,"We really do mean the name. Our natural purity tested allergen free master- piece multivitamin will make you enjoy the nourishing feeling of freshness and activeness no matter how hard your everyday routine is. A new day coming back alive.
\n
\n
\n
\nAlive provides a powerful combination of the highest quality vitamins, minerals, and natural plant extracts to maximize the athlete’s potential through superior nutrition. Its formula contains higher levels of antioxidants to help counteract the oxidative stress caused by intense physical activity.  <h6>Products Benefits:</h6>
\n
\n<strong>- Supporting overall health, immune system, and natural hormones production.</strong>
\n
\n
\n
\n<strong>- Reinforcing joints health, bones health, and gut GI health.</strong>
\n
\n
\n
\n<strong>- Increasing energy levels naturally. </strong>
\n
\n
\n
\n<strong>- Improving mental focus and feel-good-feeling.</strong>
\n
\n
\n
\n<strong>- Reducing physical and mental fatigue.</strong>
\n
\n
\n
\n<strong>- Used as OTC for organ defending against toxins. </strong>
\n
\n
\n
\n<strong>- Liver, Kidney, heart, cholesterol, blood pressure and Eyes support.</strong>
\n
\n","<h6>Ingredients:</h6>
\n<p>
\nMagnesium bisglycinate, Calcium chloride, Potassium citrate, and L-ascorbic acid (Vitamin C).<br>
\n<strong>Probiotic blend – Megaflora 9 EVO:</strong> Bifidobacterium lactis, Enterococcus faecium, Lactobacillus acidophilus, Lactobacillus paracasei, Lactobacillus plantarum, Lactobacillus salivarius, and Lactococcus lactis.<br>
\nDL-alpha tocopheryl acetate (Vitamin E), Hawthorn dry extract (<em>Crataegus pinnatifida Bge.</em>, berries), and Milk Thistle dry extract (<em>Silybum marianum (L.) Gaertn.</em>, seed).<br>
\nN-acetyl L-cysteine, Turmeric Cursol® dry extract (<em>Curcuma longa L.</em>, rhizome) 2.1% curcumin, and Ashwagandha KSM-66® dry extract (<em>Withania somnifera</em>, root) 5% withanolides.<br>
\nBulking agent: Microcrystalline cellulose (E-460i), Anti-caking agent: Magnesium salts of fatty acids (E-470b), and Zinc bisglycinate.<br>
\nAlpha lipoic acid, Pine bark dry extract (<em>Pinus maritima Lamarck (Pinus pinaster Aiton)</em>, bark), Ginkgo biloba dry extract (<em>Ginkgo biloba L.</em>, leaves), and L-arginine.<br>
\nTribulus dry extract (<em>Tribulus terrestris L.</em>, fruit), Thiamin hydrochloride (Vitamin B1), and Nicotinamide (Niacin).
\n</p>
\n
\n<h6>How to use:</h6>
\n<p>Take 4 capsules per day.</p>
\n
\n<img src=""https://marvelousnutrition.com/wp-content/uploads/2019/09/alive-gadwel-1024x862.png"" alt=""Alive supplement product"" width=""1024"" height=""862"" class=""alignnone size-large wp-image-7878"" />
\n",ÉNERGIE - RÉCUPÉRATION,,30,,CHF,0,{},"{""https://marvelousnutrition.com/wp-content/uploads/2025/11/alive.png""}",false,false,false,,#c8102e,0.0,0,"{""top-selling""}"
SKU-5645,Women Tshirt,,women-tshirt,,,Accessories,,0.00,,CHF,0,{},"{""https://marvelousnutrition.com/wp-content/uploads/2025/11/Marveleous37.png""}",false,false,false,,#c8102e,0.0,0,{}
SKU-5646,Men Tshirt,,men-tshirt,,,Accessories,,0.00,,CHF,0,{},"{""https://marvelousnutrition.com/wp-content/uploads/2025/11/Marveleous28.png""}",false,false,false,,#c8102e,0.0,0,{}
SKU-5647,Cut Tshirt,,cut-tshirt,,,Accessories,,0.00,,CHF,0,{},"{""https://marvelousnutrition.com/wp-content/uploads/2025/11/Marveleous29.png""}",false,false,false,,#c8102e,0.0,0,{}
SKU-5648,Shaker 1,,shaker-1,,,Accessories,,12,,CHF,0,{},"{""https://marvelousnutrition.com/wp-content/uploads/2025/11/Marveleous45.png""}",false,false,false,,#c8102e,0.0,0,{}
